area_sqft,bedrooms,bathrooms,stories,parking,age_years,latitude,longitude,distance_to_city_km,distance_to_school_km,distance_to_hospital_km,schools_within_2km,nearest_school_km,hospitals_within_2km,nearest_hospital_km,metro_within_2km,nearest_metro_km,parks_within_2km,shopping_within_2km,supermarkets_within_2km,crime_rate,property_tax,income_index,location,furnishing,has_garden,has_pool,price
2048.1,3,3,2,2,24.5,28.61711,77.1894,1.94,0.35,0.93,13,0.35,5,0.93,4,0.55,5,2,6,0.3263,113376.0,0.7809,Delhi,Semi-Furnished,Yes,Yes,16594462.0
1174.0,2,3,3,0,12.0,28.57113,77.23542,5.4,0.2,0.3,12,0.2,4,0.3,2,1.05,2,3,7,0.1548,67400.0,0.7426,Delhi,Semi-Furnished,No,No,10180942.0
2337.8,3,3,1,2,2.7,12.91054,77.57278,7.18,0.59,0.95,13,0.59,3,0.95,3,0.9,4,2,5,0.4528,115707.0,0.7118,Bangalore,Semi-Furnished,Yes,No,17704992.0
2461.4,4,4,2,2,8.7,17.39242,78.46025,2.92,0.29,0.44,15,0.29,3,0.44,2,1.26,4,2,9,0.1818,104989.0,0.7368,Hyderabad,Furnished,No,No,17975678.0
581.8,2,2,2,1,13.6,28.59801,77.20915,1.76,0.53,0.58,12,0.53,4,0.58,5,0.58,4,3,5,0.0706,45437.0,0.5642,Delhi,Unfurnished,No,Yes,7512647.0
1003.6,2,2,1,2,5.3,17.44816,78.6525,18.91,0.82,1.43,1,0.82,3,1.43,3,2.24,1,2,8,0.038,45795.0,0.5494,Hyderabad,Furnished,No,No,7240787.0
1933.1,3,3,4,0,18.8,17.33823,78.36528,13.87,0.47,1.33,8,0.47,5,1.33,0,1.78,4,1,8,0.154,77627.0,0.6675,Hyderabad,Furnished,No,Yes,12509426.0
1644.4,3,3,2,3,1.3,18.38822,73.7156,20.88,0.74,2.42,5,0.74,2,2.42,1,2.81,1,0,1,0.3864,47599.0,0.5723,Pune,Unfurnished,Yes,No,9790213.0
1839.1,3,2,1,0,3.6,12.9647,77.5604,3.78,0.32,0.45,11,0.32,4,0.45,5,1.3,4,3,7,0.4953,81632.0,0.6605,Bangalore,Semi-Furnished,No,No,13956673.0
1295.5,3,3,3,0,2.8,28.59246,77.30449,9.6,0.41,0.72,7,0.41,4,0.72,1,0.99,1,2,5,0.4859,71112.0,0.642,Delhi,Unfurnished,Yes,No,10886476.0
2421.6,4,4,1,1,16.2,17.30855,78.60182,14.86,0.52,1.48,4,0.52,2,1.48,3,2.15,3,1,5,0.373,67909.0,0.593,Hyderabad,Furnished,No,No,11807628.0
2355.6,4,4,1,2,1.5,13.13034,77.42781,25.22,0.91,2.15,4,0.91,4,2.15,2,3.65,2,1,4,0.5978,60087.0,0.4257,Bangalore,Furnished,No,Yes,14508198.0
1892.9,3,3,1,2,10.6,17.54225,78.48371,17.46,0.63,0.93,2,0.63,1,0.93,3,1.57,2,5,4,0.319,46080.0,0.6126,Hyderabad,Unfurnished,No,No,9577913.0
2582.7,3,3,3,1,12.6,12.98941,77.6296,4.27,0.4,0.35,13,0.4,3,0.35,0,0.81,5,2,8,0.0514,72223.0,0.2929,Bangalore,Semi-Furnished,No,No,16810135.0
2153.9,3,3,3,2,5.9,18.57842,73.81031,8.08,0.2,0.93,6,0.2,5,0.93,2,1.23,1,3,7,0.3092,64916.0,0.7106,Pune,Semi-Furnished,No,No,12829888.0
